id,char,freq
0,<pad>,0
1,<sos>,0
2,<eos>,0
3, ,37526
4,.,4202
5,그,3766
6,이,3306
7,는,2475
8,아,2443
9,가,2350
10,고,2292
11,어,2120
12,거,2030
13,지,1780
14,데,1708
15,?,1559
16,나,1503
17,다,1418
18,하,1410
19,서,1364
20,에,1298
21,도,1235
22,게,1156
23,니,1076
24,기,946
25,은,928
26,야,894
27,한,873
28,면,861
29,있,840
30,해,821
31,라,768
32,까,735
33,을,714
34,리,704
35,래,695
36,근,689
37,사,680
38,로,617
39,안,598
40,뭐,597
41,들,595
42,일,534
43,내,530
44,같,529
45,보,516
46,시,507
47,제,492
48,런,487
49,자,474
50,때,444
51,만,443
52,대,427
53,너,420
54,오,411
55,진,410
56,러,408
57,되,407
58,를,392
59,간,392
60,잖,388
61,으,384
62,무,381
63,인,380
64,요,367
65,었,363
66,막,355
67,마,354
68,냥,351
69,애,350
70,생,349
71,스,348
72,수,348
73,우,345
74,했,342
75,렇,337
76,구,334
77,학,332
78,짜,326
79,없,306
80,말,305
81,주,295
82,많,292
83,더,280
84,원,276
85,음,269
86,번,269
87,부,267
88,정,265
89,겠,265
90,할,261
91,먹,255
92,든,253
93,좋,248
94,약,242
95,전,241
96,여,240
97,람,233
98,랑,224
99,금,223
100,각,223
101,네,220
102,걸,216
103,좀,213
104,알,209
105,건,206
106,모,203
107,않,197
108,십,195
109,것,194
110,드,192
111,맞,189
112,려,189
113,냐,186
114,저,184
115,던,176
116,교,176
117,히,175
118,장,173
119,치,171
120,비,171
121,르,171
122,잘,169
123,못,168
124,상,167
125,중,161
126,싶,158
127,동,158
128,단,158
129,바,155
130,트,154
131,응,151
132,얘,151
133,난,151
134,또,150
135,봤,147
136,연,146
137,테,144
138,갔,141
139,적,140
140,걔,140
141,영,136
142,엄,136
143,봐,136
144,계,136
145,화,132
146,세,132
147,공,132
148,신,131
149,미,131
150,년,131
151,의,130
152,차,129
153,재,126
154,날,126
155,왜,125
156,긴,125
157,집,124
158,았,123
159,럼,123
160,식,119
161,터,118
162,분,115
163,타,114
164,직,114
165,예,114
166,친,113
167,살,112
168,두,112
169,쫌,109
170,명,109
171,돼,108
172,청,107
173,속,107
174,행,106
175,운,106
176,버,106
177,물,106
178,디,106
179,심,105
180,개,105
181,쪽,104
182,실,104
183,빠,104
184,국,102
185,과,101
186,갈,101
187,피,100
188,랬,99
189,소,98
190,처,97
191,언,97
192,와,96
193,방,95
194,업,94
195,경,94
196,본,93
197,배,93
198,느,92
199,문,91
200,관,91
201,삼,89
202,돈,89
203,선,88
204,뭔,88
205,남,87
206,유,86
207,달,85
208,받,83
209,회,82
210,맛,79
211,강,79
212,크,78
213,점,78
214,따,77
215,왔,76
216,당,76
217,편,75
218,카,75
219,른,75
220,반,74
221,몇,74
222,열,73
223,된,73
224,님,73
225,월,70
226,였,70
227,워,69
228,별,69
229,백,69
230,밌,69
231,딱,67
232,프,66
233,성,66
234,떻,66
235,군,66
236,조,65
237,위,64
238,얼,64
239,양,64
240,머,64
241,매,62
242,노,62
243,키,61
244,케,61
245,찮,61
246,입,61
247,임,61
248,올,61
249,형,60
250,작,60
251,용,60
252,몰,60
253,누,60
254,준,59
255,슨,59
256,산,59
257,불,59
258,등,59
259,괜,59
260,팔,58
261,쓰,58
262,새,58
263,볼,58
264,파,57
265,체,57
266,져,57
267,끝,57
268,울,56
269,싸,56
270,밥,56
271,될,56
272,육,55
273,혼,54
274,감,54
275,외,53
276,길,53
277,즘,51
278,레,51
279,힘,50
280,필,50
281,목,50
282,통,49
283,칠,49
284,초,49
285,온,49
286,맨,49
287,돌,49
288,티,48
289,질,48
290,결,48
291,확,47
292,놀,47
293,완,46
294,닌,46
295,험,45
296,천,45
297,줄,45
298,복,45
299,민,45
300,됐,45
301,갑,45
302,추,43
303,역,43
304,억,42
305,싫,42
306,술,42
307,색,42
308,발,42
309,졌,41
310,렸,41
311,갖,41
312,호,40
313,찍,40
314,린,40
315,늘,40
316,포,39
317,토,39
318,럴,39
319,끼,39
320,잡,38
321,취,37
322,병,37
323,루,37
324,담,37
325,깐,37
326,섯,36
327,빨,36
328,낌,36
329,출,35
330,줘,35
331,밖,35
332,떤,35
333,글,35
334,후,34
335,페,34
336,쪼,34
337,줬,34
338,습,34
339,박,34
340,락,34
341,났,34
342,튼,33
343,절,33
344,써,33
345,솔,33
346,벌,33
347,겨,33
348,큰,32
349,최,32
350,눈,32
351,코,31
352,졸,31
353,씩,31
354,격,31
355,항,30
356,증,30
357,웃,30
358,엔,30
359,앞,30
360,능,30
361,놓,30
362,플,29
363,커,29
364,책,29
365,종,29
366,쉬,29
367,설,29
368,빼,29
369,먼,29
370,귀,29
371,쳐,28
